"Influenza_Season","Start_Date","End_Date","Reporting_TimeFrame","Week_Sort_Order","Current_Season_Week_Ending_Label","Cumulative_Flu_Doses_Distributed","Current_Through"
"2023-2024","2023 Aug 20 12:00:00 AM","2023 Aug 26 12:00:00 AM","2023-08-20 - 2023-08-26","5","2025 Aug 23 12:00:00 AM","42.93","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Aug 27 12:00:00 AM","2023 Sep 02 12:00:00 AM","2023-08-27 - 2023-09-02","6","2025 Aug 30 12:00:00 AM","54.54","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Sep 03 12:00:00 AM","2023 Sep 09 12:00:00 AM","2023-09-03 - 2023-09-09","7","2025 Sep 06 12:00:00 AM","68.65","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Sep 10 12:00:00 AM","2023 Sep 16 12:00:00 AM","2023-09-10 - 2023-09-16","8","2025 Sep 13 12:00:00 AM","83.59","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Sep 17 12:00:00 AM","2023 Sep 23 12:00:00 AM","2023-09-17 - 2023-09-23","9","2025 Sep 20 12:00:00 AM","100.51","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Sep 24 12:00:00 AM","2023 Sep 30 12:00:00 AM","2023-09-24 - 2023-09-30","10","2025 Sep 27 12:00:00 AM","116.29","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Oct 01 12:00:00 AM","2023 Oct 07 12:00:00 AM","2023-10-01 - 2023-10-07","11","2025 Oct 04 12:00:00 AM","128.35","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Oct 08 12:00:00 AM","2023 Oct 14 12:00:00 AM","2023-10-08 - 2023-10-14","12","2025 Oct 11 12:00:00 AM","136.94","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Oct 15 12:00:00 AM","2023 Oct 21 12:00:00 AM","2023-10-15 - 2023-10-21","13","2025 Oct 18 12:00:00 AM","142.16","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Oct 22 12:00:00 AM","2023 Oct 28 12:00:00 AM","2023-10-22 - 2023-10-28","14","2025 Oct 25 12:00:00 AM","145.42","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Oct 29 12:00:00 AM","2023 Nov 04 12:00:00 AM","2023-10-29 - 2023-11-04","15","2025 Nov 01 12:00:00 AM","147.47","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Nov 05 12:00:00 AM","2023 Nov 11 12:00:00 AM","2023-11-05 - 2023-11-11","16","2025 Nov 08 12:00:00 AM","148.95","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Nov 12 12:00:00 AM","2023 Nov 18 12:00:00 AM","2023-11-12 - 2023-11-18","17","2025 Nov 15 12:00:00 AM","150.63","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Nov 19 12:00:00 AM","2023 Nov 25 12:00:00 AM","2023-11-19 - 2023-11-25","18","2025 Nov 22 12:00:00 AM","151.3","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Nov 26 12:00:00 AM","2023 Dec 02 12:00:00 AM","2023-11-26 - 2023-12-02","19","2025 Nov 29 12:00:00 AM","152.42","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Dec 03 12:00:00 AM","2023 Dec 09 12:00:00 AM","2023-12-03 - 2023-12-09","20","2025 Dec 06 12:00:00 AM","153.62","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Dec 10 12:00:00 AM","2023 Dec 16 12:00:00 AM","2023-12-10 - 2023-12-16","21","2025 Dec 13 12:00:00 AM","154.38","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Dec 17 12:00:00 AM","2023 Dec 23 12:00:00 AM","2023-12-17 - 2023-12-23","22","2025 Dec 20 12:00:00 AM","155.2","2026 Jan 03 12:00:00 AM"
"2023-2024","2023 Dec 24 12:00:00 AM","2023 Dec 31 12:00:00 AM","2023-12-24 - 2023-12-31","23","2025 Dec 27 12:00:00 AM","155.36","2026 Jan 03 12:00:00 AM"
"2023-2024","2024 Jan 01 12:00:00 AM","2024 Jan 06 12:00:00 AM","2024-01-01 - 2024-01-06","24","2026 Jan 03 12:00:00 AM","156.26","2024 Jan 13 12:00:00 AM"
"2023-2024","2024 Jan 01 12:00:00 AM","2024 Jan 13 12:00:00 AM","2024-01-01 - 2024-01-13","25","2026 Jan 10 12:00:00 AM","156.26","2026 Jan 03 12:00:00 AM"
"2023-2024","2024 Jan 14 12:00:00 AM","2024 Jan 20 12:00:00 AM","2024-01-14 - 2024-01-20","25","2026 Jan 17 12:00:00 AM","156.42","2026 Jan 03 12:00:00 AM"
"2023-2024","2024 Jan 21 12:00:00 AM","2024 Jan 27 12:00:00 AM","2024-01-21 - 2024-01-27","26","2026 Jan 24 12:00:00 AM","156.76","2026 Jan 03 12:00:00 AM"
"2023-2024","2024 Jan 28 12:00:00 AM","2024 Feb 03 12:00:00 AM","2024-01-28 - 2024-02-03","27","2026 Jan 31 12:00:00 AM","156.96","2026 Jan 03 12:00:00 AM"
"2023-2024","2024 Feb 04 12:00:00 AM","2024 Feb 10 12:00:00 AM","2024-02-04 - 2024-02-10","28","2026 Feb 07 12:00:00 AM","157.19","2026 Jan 03 12:00:00 AM"
"2023-2024","2024 Feb 11 12:00:00 AM","2024 Feb 17 12:00:00 AM","2024-02-11 - 2024-02-17","29","2026 Feb 14 12:00:00 AM","157.35","2026 Jan 03 12:00:00 AM"
"2023-2024","2024 Feb 18 12:00:00 AM","2024 Feb 24 12:00:00 AM","2024-02-18 - 2024-02-24","30","2026 Feb 21 12:00:00 AM","157.52","2026 Jan 03 12:00:00 AM"
"2023-2024","2024 Feb 25 12:00:00 AM","2024 Mar 02 12:00:00 AM","2024-02-25 - 2024-03-02","31","2026 Feb 28 12:00:00 AM","157.62","2026 Jan 03 12:00:00 AM"
"2023-2024","2024 Mar 03 12:00:00 AM","2024 Mar 09 12:00:00 AM","2024-03-03 - 2024-03-09","32","2026 Mar 07 12:00:00 AM","157.72","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Jul 21 12:00:00 AM","2024 Jul 27 12:00:00 AM","2024-07-21 - 2024-07-27","1","2025 Jul 26 12:00:00 AM","5.58","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Jul 28 12:00:00 AM","2024 Aug 03 12:00:00 AM","2024-07-28 - 2024-08-03","2","2025 Aug 02 12:00:00 AM","10.09","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Aug 04 12:00:00 AM","2024 Aug 10 12:00:00 AM","2024-08-04 - 2024-08-10","3","2025 Aug 09 12:00:00 AM","16.47","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Aug 11 12:00:00 AM","2024 Aug 17 12:00:00 AM","2024-08-11 - 2024-08-17","4","2025 Aug 16 12:00:00 AM","26.33","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Aug 18 12:00:00 AM","2024 Aug 24 12:00:00 AM","2024-08-18 - 2024-08-24","5","2025 Aug 23 12:00:00 AM","39.71","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Aug 25 12:00:00 AM","2024 Aug 31 12:00:00 AM","2024-08-25 - 2024-08-31","6","2025 Aug 30 12:00:00 AM","54.27","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Sep 01 12:00:00 AM","2024 Sep 07 12:00:00 AM","2024-09-01 - 2024-09-07","7","2025 Sep 06 12:00:00 AM","65.89","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Sep 08 12:00:00 AM","2024 Sep 14 12:00:00 AM","2024-09-08 - 2024-09-14","8","2025 Sep 13 12:00:00 AM","78.12","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Sep 15 12:00:00 AM","2024 Sep 21 12:00:00 AM","2024-09-15 - 2024-09-21","9","2025 Sep 20 12:00:00 AM","92.35","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Sep 22 12:00:00 AM","2024 Sep 28 12:00:00 AM","2024-09-22 - 2024-09-28","10","2025 Sep 27 12:00:00 AM","108.04","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Sep 29 12:00:00 AM","2024 Oct 05 12:00:00 AM","2024-09-29 - 2024-10-05","11","2025 Oct 04 12:00:00 AM","116.01","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Oct 06 12:00:00 AM","2024 Oct 12 12:00:00 AM","2024-10-06 - 2024-10-12","12","2025 Oct 11 12:00:00 AM","122.93","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Oct 13 12:00:00 AM","2024 Oct 19 12:00:00 AM","2024-10-13 - 2024-10-19","13","2025 Oct 18 12:00:00 AM","127.31","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Oct 20 12:00:00 AM","2024 Oct 26 12:00:00 AM","2024-10-20 - 2024-10-26","14","2025 Oct 25 12:00:00 AM","131.4","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Oct 27 12:00:00 AM","2024 Nov 02 12:00:00 AM","2024-10-27 - 2024-11-02","15","2025 Nov 01 12:00:00 AM","134.19","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Nov 03 12:00:00 AM","2024 Nov 09 12:00:00 AM","2024-11-03 - 2024-11-09","16","2025 Nov 08 12:00:00 AM","136.16","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Nov 10 12:00:00 AM","2024 Nov 16 12:00:00 AM","2024-11-10 - 2024-11-16","17","2025 Nov 15 12:00:00 AM","138.21","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Nov 17 12:00:00 AM","2024 Nov 23 12:00:00 AM","2024-11-17 - 2024-11-23","18","2025 Nov 22 12:00:00 AM","139.24","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Nov 24 12:00:00 AM","2024 Nov 30 12:00:00 AM","2024-11-24 - 2024-11-30","19","2025 Nov 29 12:00:00 AM","139.65","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Dec 01 12:00:00 AM","2024 Dec 07 12:00:00 AM","2024-12-01 - 2024-12-07","20","2025 Dec 06 12:00:00 AM","142.89","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Dec 08 12:00:00 AM","2024 Dec 14 12:00:00 AM","2024-12-08 - 2024-12-14","21","2025 Dec 13 12:00:00 AM","143.78","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Dec 15 12:00:00 AM","2024 Dec 21 12:00:00 AM","2024-12-15 - 2024-12-21","22","2025 Dec 20 12:00:00 AM","144.58","2026 Jan 03 12:00:00 AM"
"2024-2025","2024 Dec 22 12:00:00 AM","2024 Dec 31 12:00:00 AM","2024-12-22 - 2024-12-31","23","2025 Dec 27 12:00:00 AM","144.88","2026 Jan 03 12:00:00 AM"
"2024-2025","2025 Jan 01 12:00:00 AM","2025 Jan 04 12:00:00 AM","2025-01-01 - 2025-01-04","24","2026 Jan 03 12:00:00 AM","145.54","2025 Jan 11 12:00:00 AM"
"2024-2025","2025 Jan 01 12:00:00 AM","2025 Jan 11 12:00:00 AM","2025-01-01 - 2025-01-11","25","2026 Jan 10 12:00:00 AM","145.54","2026 Jan 03 12:00:00 AM"
"2024-2025","2025 Jan 12 12:00:00 AM","2025 Jan 18 12:00:00 AM","2025-01-12 - 2025-01-18","25","2026 Jan 17 12:00:00 AM","145.92","2026 Jan 03 12:00:00 AM"
"2024-2025","2025 Jan 19 12:00:00 AM","2025 Jan 25 12:00:00 AM","2025-01-19 - 2025-01-25","26","2026 Jan 24 12:00:00 AM","146.22","2026 Jan 03 12:00:00 AM"
"2024-2025","2025 Jan 26 12:00:00 AM","2025 Feb 01 12:00:00 AM","2025-01-26 - 2025-02-01","27","2026 Jan 31 12:00:00 AM","146.47","2026 Jan 03 12:00:00 AM"
"2024-2025","2025 Feb 02 12:00:00 AM","2025 Feb 08 12:00:00 AM","2025-02-02 - 2025-02-08","28","2026 Feb 07 12:00:00 AM","146.76","2026 Jan 03 12:00:00 AM"
"2024-2025","2025 Feb 09 12:00:00 AM","2025 Feb 15 12:00:00 AM","2025-02-09 - 2025-02-15","29","2026 Feb 14 12:00:00 AM","147.01","2026 Jan 03 12:00:00 AM"
"2024-2025","2025 Feb 16 12:00:00 AM","2025 Feb 22 12:00:00 AM","2025-02-16 - 2025-02-22","30","2026 Feb 21 12:00:00 AM","147.17","2026 Jan 03 12:00:00 AM"
"2024-2025","2025 Feb 23 12:00:00 AM","2025 Mar 01 12:00:00 AM","2025-02-23 - 2025-03-01","31","2026 Feb 28 12:00:00 AM","147.39","2026 Jan 03 12:00:00 AM"
"2024-2025","2025 Mar 02 12:00:00 AM","2025 Mar 08 12:00:00 AM","2025-03-02 - 2025-03-08","32","2026 Mar 07 12:00:00 AM","147.55","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Jul 27 12:00:00 AM","2025 Aug 02 12:00:00 AM","2025-07-27 - 2025-08-02","1","2025 Aug 02 12:00:00 AM","11.12","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Aug 03 12:00:00 AM","2025 Aug 09 12:00:00 AM","2025-08-03 - 2025-08-09","2","2025 Aug 09 12:00:00 AM","16.25","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Aug 10 12:00:00 AM","2025 Aug 16 12:00:00 AM","2025-08-10 - 2025-08-16","3","2025 Aug 16 12:00:00 AM","24.29","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Aug 17 12:00:00 AM","2025 Aug 23 12:00:00 AM","2025-08-17 - 2025-08-23","4","2025 Aug 23 12:00:00 AM","34.3","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Aug 24 12:00:00 AM","2025 Aug 30 12:00:00 AM","2025-08-24 - 2025-08-30","5","2025 Aug 30 12:00:00 AM","45.54","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Aug 31 12:00:00 AM","2025 Sep 06 12:00:00 AM","2025-08-31 - 2025-09-06","6","2025 Sep 06 12:00:00 AM","53.43","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Sep 07 12:00:00 AM","2025 Sep 13 12:00:00 AM","2025-09-07 - 2025-09-13","7","2025 Sep 13 12:00:00 AM","67.92","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Sep 14 12:00:00 AM","2025 Sep 20 12:00:00 AM","2025-09-14 - 2025-09-20","8","2025 Sep 20 12:00:00 AM","82.08","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Sep 21 12:00:00 AM","2025 Sep 27 12:00:00 AM","2025-09-21 - 2025-09-27","9","2025 Sep 27 12:00:00 AM","93.89","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Sep 28 12:00:00 AM","2025 Oct 04 12:00:00 AM","2025-09-28 - 2025-10-04","10","2025 Oct 04 12:00:00 AM","102.27","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Oct 05 12:00:00 AM","2025 Oct 11 12:00:00 AM","2025-10-05 - 2025-10-11","11","2025 Oct 11 12:00:00 AM","109.08","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Oct 12 12:00:00 AM","2025 Oct 18 12:00:00 AM","2025-10-12 - 2025-10-18","12","2025 Oct 18 12:00:00 AM","113.99","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Oct 19 12:00:00 AM","2025 Oct 25 12:00:00 AM","2025-10-19 - 2025-10-25","13","2025 Oct 25 12:00:00 AM","118.55","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Oct 26 12:00:00 AM","2025 Nov 01 12:00:00 AM","2025-10-26 - 2025-11-01","14","2025 Nov 01 12:00:00 AM","121.75","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Nov 02 12:00:00 AM","2025 Nov 08 12:00:00 AM","2025-11-02 - 2025-11-08","15","2025 Nov 08 12:00:00 AM","124.32","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Nov 09 12:00:00 AM","2025 Nov 15 12:00:00 AM","2025-11-09 - 2025-11-15","16","2025 Nov 15 12:00:00 AM","126.01","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Nov 16 12:00:00 AM","2025 Nov 22 12:00:00 AM","2025-11-16 - 2025-11-22","17","2025 Nov 22 12:00:00 AM","126.16","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Nov 23 12:00:00 AM","2025 Nov 29 12:00:00 AM","2025-11-23 - 2025-11-29","18","2025 Nov 29 12:00:00 AM","127.75","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Nov 30 12:00:00 AM","2025 Dec 06 12:00:00 AM","2025-11-30 - 2025-12-06","19","2025 Dec 06 12:00:00 AM","129.78","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Dec 07 12:00:00 AM","2025 Dec 13 12:00:00 AM","2025-12-07 - 2025-12-13","20","2025 Dec 13 12:00:00 AM","130.73","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Dec 14 12:00:00 AM","2025 Dec 20 12:00:00 AM","2025-12-14 - 2025-12-20","21","2025 Dec 20 12:00:00 AM","131.49","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Dec 21 12:00:00 AM","2025 Dec 27 12:00:00 AM","2025-12-21 - 2025-12-27","22","2025 Dec 27 12:00:00 AM","131.83","2026 Jan 03 12:00:00 AM"
"2025-2026","2025 Dec 28 12:00:00 AM","2026 Jan 03 12:00:00 AM","2025-12-28 - 2026-01-03","23","2026 Jan 03 12:00:00 AM","132.15","2026 Jan 03 12:00:00 AM"
